ID,Category,Subcategory,Stratum,Frequency,Word,Auditory,Visual,Haptic,Gustatory,Olfactory,Interoceptive,Dominant_modalities,Dominant_modality,Maximum_perceptual_strength,Iconicity,Modality_exclusivity
163,Noun,NA,Native,3423,chikara,1.3,2.9,3.5,0.7,0.2,4.5,Interoceptive,Interoceptive,4.5,1.533333333,32.82442748
411,Function_word,NA,Native,"13,612",tsutsu,2.2,2.9,1.6,1.2,1.3,1.7,Visual,Visual,2.9,1.533333333,15.59633028
161,Adjective,NA,Sino-Japanese,6459,bakana,2.6,2.9,0.5,0.1,0.3,3.1,Interoceptive,Interoceptive,3.1,1.538461538,31.57894737
162,Function_word,NA,Native,"21,067",rashii,2.1,2,1,0.7,0.6,2.3,Interoceptive,Interoceptive,2.3,1.538461538,19.54022989
159,Adjective,NA,Native,3676,kanashii,2.3,3.1,0.3,0.1,0.1,4.4,Interoceptive,Interoceptive,4.4,1.545454545,41.74757282
410,Noun,NA,Native,14917,michi,1.6,4.2,1.2,0,0.9,1.4,Visual,Visual,4.2,1.545454545,45.16129032
160,Verb,NA,Native,13456,wasureru,1.8,1.8,0.5,0.9,1.2,2.6,Interoceptive,Interoceptive,2.6,1.545454545,23.86363636
409,Noun,NA,Sino-Japanese,9264,jimu,2.454545455,3.363636364,1.545454545,0,0.545454545,2,Visual,Visual,3.363636364,1.55,33.94495413
408,Adjective,NA,Loaned,1034,mejaana,2.8,3.3,1.7,2.1,1.6,1.8,Visual,Visual,3.3,1.555555556,12.78195489
27,Function_word,NA,Native,"630,493",desu,2,1.2,0.5,0.5,0.6,1.2,Auditory,Auditory,2,1.5625,25
406,Noun,NA,Native,145992,hito,3.454545455,4.272727273,3.545454545,0.636363636,2.636363636,3.090909091,Visual,Visual,4.272727273,1.571428571,20.61855671
407,Adjective,NA,Loaned,604,sekushiina,2.3,4.6,1.5,0.4,1.8,2.7,Visual,Visual,4.6,1.571428571,31.57894737
405,Verb,NA,Native,1843,sashidasu,1.1,3.4,2.2,0.1,0.5,1.5,Visual,Visual,3.4,1.583333333,37.5
44,Verb,NA,Native,30988,taberu,2.7,3.3,3.7,5,4.2,4.3,Gustatory,Gustatory,5,1.6,9.913793103
